Name,Attachments,Type of food,Theme,Cuisine,Meat,URL
François Lurton Les Fumées Blanches Gris de Sauvignon 2015,"https://www.saq.com/fr/12843777, image%20111.png",,Carte des vins,,,
La Vis Simboli Pinot Grigio Trevenezie,"https://www.saq.com/fr/12667911, image%20112.png",,Carte des vins,,,
Albert Bichot Bourgogne Aligoté,"https://www.saq.com/fr/130724, image%20113.png",,Carte des vins,,,
Borsao Tres Picos Campo de Borja 2018,"https://www.saq.com/fr/12732057, image%20114.png",,Carte des vins,,,
AIX Coteaux d’Aix en Provence,,,Carte des vins,,,
Casa Ferreirinha Planalto Reserva Douro,https://www.saq.com/fr/13189594,,Carte des vins,,,
Pfaff Pinot Gris Alsace,httpswww.saq.commediacatalogproduct91912824-1_1580607914.pngquality80fitboundsheightwidth,,Carte des vins,,,
Dalgona Coffee,"https://www.elitedaily.com/p/heres-how-to-make-dalgona-coffee-with-chocolate-for-a-sweet-sip-22763150, image%20115.png, image%20116.png, image%20117.png, image%20118.png, https://okonomikitchen.com/dalgona-chocolate-whipped-chocolate-recipe/",,Hot drink,,,
FENG SHUI,"httpswww.monsieurt.cafcfeng-shui.html, image%20119.png",,Hot drink,,,
Oolong citron basilic,httpswww.monsieurt.cafcoolong-citron-basilic.html,,Hot drink,,,
FLEUR DES MOINES,"httpswww.monsieurt.cafcfleur-des-moines.html, image%20120.png",,Hot drink,,,
BOL DE FRUITS,"httpswww.monsieurt.cafcbol-de-fruits.html, image%20121.png",,Hot drink,,,
Cranberry sauce,https://vm.tiktok.com/ZMLVs11gx/,,Sauce,European,,
FROMAGE ALEXIS DE PORTNEUF BRIE TRIPLE CRÈME ARÔMATISÉ À LA VANILLE LADY LAURIER D’ARTHABASKA,"https://fruiteriepotager.com/produit/alexis-de-portneuf-fromage-brie-triple-creme-aromatise-a-la-vanille-lady-laurier-darthabaska-150-g/, image%207.jpeg",,Fromage,,,
Sauce à la crème et à la moutarde,"https://www.ricardocuisine.com/recettes/8074-escalopes-de-porc-a-la-creme-et-a-la-moutarde, image%208.jpeg",,Sauce,European,,
Maya l’abeille,,,Hot drink,,,
Kaltbach le crémeux,,,Fromage,,,
Sauce chimichurri - Josée di Stasio,https://www.joseedistasio.ca/recettes/sauces-condiments-vinaigrettes/sauce-chimichurri/,,Sauce,,,
Roasted Parsnip Cream Sauce,"https://www.rachaelraymag.com/recipe/parsnip-cream-sauce, image%20122.png",,Sauce,,,
Homemade Teriyaki Sauce Recipe - Taste and Tell,https://www.tasteandtellblog.com/teriyaki-chicken/,,Sauce,Asian,,
Chicken Fricassee,"https://www.delish.com/cooking/recipe-ideas/a23105767/easy-chicken-fricassee-recipe/, image%20123.png",Casserole,Comfort Food,European,Chicken,
Poutine décadente à la saucisse italienne,"https://www.chefcookit.com/recipes/poutine-saucisse, image%20124.png, Poutine_dcadente__la_saucisse_italienne___Recette_facile__prparer___Cook_it.pdf",,Comfort Food,Quebecoise,Saucisse,
SHEET PAN MAC AND CHEESE,"https://damndelicious.net/2019/09/14/sheet-pan-mac-and-cheese/, image%20125.png",Casserole,Comfort Food,North American,,
Baked Chicken in Creamy Garlic Sauce,"https://www.youtube.com/watch?v=GWYlB-pvA3I, image%20126.png",Casserole,Comfort Food,European,Chicken,
Bacon Harvest Chicken Skillet,"https://www.delish.com/cooking/recipe-ideas/a29253159/harvest-chicken-skillet-recipe/, image%20127.png",Casserole,Comfort Food,European,Chicken,
H,https://vm.tiktok.com/ZMNJHAyLg/?k=1,,Comfort Food,,,
Basic smash potatoes,https://vm.tiktok.com/ZMNKUayBr/,,Comfort Food,European,,
Pickled onions,https://vm.tiktok.com/ZML7Wcbeq/?k=1,,Comfort Food,European,,
Ribs,https://vm.tiktok.com/ZMLg1kQCv/,,Comfort Food,North American,Red Meat,
Tomato soup,https://vm.tiktok.com/ZMNJ9Fbn9/?k=1,Bowl,Comfort Food,European,,
Carne Asada ,https://damndelicious.net/2019/05/05/carne-asada/,,Taco Tuesday,Mexican,Red Meat,
Salade de crevettes nordiques,,Bowl,Soup & Salad Sunday,European,Shrimp,
Ramen spontané,,Bowl,Stir fry & ramen Saturday,Italian,,
Italian pasta,,Pasta,Pasta Thursday,Italian,,
Alla Norma,,Pasta,Pasta Thursday,Italian,,
Classic Carbonara,,Pasta,Pasta Thursday,Italian,,
Linguine alla Puttanesca,,Pasta,Pasta Thursday,Italian,,
Malloreddus alla Campidanese,,Pasta,Pasta Thursday,Italian,,
Pasta e Fagioli with Borlotti Beans,,Bowl,Pasta Thursday,Italian,,
Ramen Guideline,,Bowl,Stir fry & ramen Saturday,Japanese,,
Hearts of Palm Salad with Brazilian Vinaigrette,https://i0.wp.com/www.aspicyperspective.com/wp-content/uploads/2018/05/brazilian-chopped-salad-9.jpg?w=600&ssl=1,Bowl,Soup & Salad Sunday,,,
Passion Fruit Mousse,https://braziliankitchenabroad.com/passion-fruit-mousse/,,Sweet Treat Saturday,,,
Pizza,,,,,,
Lomo Saltado,,,,,,
Pâte aux goberges,,,,,,
,,,,,,
,,,,,,
New recipe,,,,,,
Recipe,,,,,,
,,,,,,
,,,,,,
New Recipe,,,,,,
BBQ Chicken Wings,https://www.kitchensanctuary.com/wp-content/uploads/2020/06/bbq-chicken-wings-tall-FS-8.webp,Grill,Comfort Food,North American,Chicken,https://www.kitchensanctuary.com/bbq-chicken-wings/
BBQ Sauce,https://cookingformysoul.com/wp-content/uploads/2023/05/sweet-bbq-sauce-5-min.jpg,,Sauce,North American,,https://cookingformysoul.com/homemade-sweet-bbq-sauce/
